msoa,imd,ptal,density,density_source
E02000409,42.225,6.823795,8730.9,direct
E02000410,11.125,9.716255,8533.4,direct
E02000411,33.05,12.378415,8199.8,direct
E02000412,34.375,27.859775,9491.9,direct
E02000413,13.875,6.440685,6366.2,direct
E02000414,29.45,11.4568225,17296.0,direct
E02000415,27.099999999999998,18.2983525,10282.6,direct
E02000416,28.98,9.349628,13445.2,direct
E02000417,13.75,8.626394999999999,6187.2,direct
E02000418,12.0,6.8664000000000005,7615.0,direct
E02000419,24.825,22.301724999999998,13601.1,direct
E02000420,36.4,20.12585,13836.8,direct
E02000421,42.224999999999994,32.391825,10857.3,direct
E02000422,29.7,11.5555775,13750.0,direct
E02000423,22.775,14.0300575,12449.5,direct
E02000424,19.55,10.6023125,10139.6,direct
E02000425,27.825,19.1657875,15099.8,direct
E02000426,15.2,6.794775,2912.3,direct
E02000427,25.725,18.81145,6166.7,direct
E02000428,31.15,12.7953,14136.8,direct
E02000429,13.475000000000001,7.34431,6927.4,direct
E02000430,14.975,11.6909925,10516.6,direct
E02000431,13.950000000000001,14.9632,9599.5,direct
E02000432,23.625,24.74125,11420.0,direct
E02000433,12.25,3.682645,1361.2,direct
E02000434,14.48,6.497136,5017.6,direct
E02000435,20.675,3.1573575,4533.7,direct
E02000436,7.7,1.6914820000000002,1219.4,direct
E02000437,16.72,7.490220000000001,6272.4,direct
E02000438,18.48,7.022582,4880.9,direct
E02000439,19.080000000000002,8.584254,8710.9,direct
E02000440,10.08,4.430132,6423.9,direct
E02000441,16.95,3.442322,3202.6,direct
E02000442,14.419999999999998,5.865036000000001,8409.2,direct
E02000443,21.880000000000003,9.997254,10987.6,direct
E02000444,11.36,5.266261999999999,7964.0,direct
E02000445,21.619999999999997,11.230675999999999,9410.9,direct
E02000447,12.149999999999999,5.89828,3856.9,direct
E02000448,6.65,6.790745,4109.5,direct
E02000449,18.46,5.804616,9033.0,direct
E02000451,7.375,7.95397,4196.5,direct
E02000452,17.375,13.457815,8450.1,direct
E02000453,12.4,9.342807500000001,8109.5,direct
E02000454,5.75,3.8241375,4684.1,direct
E02000455,18.65,19.54168,9470.8,direct
E02000456,14.95,12.9712775,8453.6,direct
E02000457,11.475,9.3590175,6085.3,direct
E02000459,20.35,9.0644425,7774.3,direct
E02000460,22.975,6.37922,8443.4,direct
E02000461,9.6,8.80013,2738.3,direct
E02000462,16.775,11.307025,6985.5,direct
E02000463,19.5,4.613446,9371.4,direct
E02000464,29.0,3.59583175,1324.3,direct
E02000465,28.6,4.509764,3337.3,direct
E02000466,23.34,3.7710017999999996,1444.7,direct
E02000467,39.833333333333336,4.867445,8433.6,direct
E02000468,19.22,4.5967898,2113.0,direct
E02000469,27.849999999999998,3.801235,4248.9,direct
E02000470,12.32,4.7167104,1446.5,direct
E02000471,9.88,3.038218,3653.8,direct
E02000472,12.833333333333334,7.318193333333333,6167.9,direct
E02000473,10.950000000000001,3.2461,3674.7,direct
E02000474,19.580000000000002,4.786346,4161.0,direct
E02000475,10.416666666666666,7.3480316666666665,3430.1,direct
E02000476,23.3,19.5088,5976.6,direct
E02000477,7.583333333333333,6.6847199999999996,5450.7,direct
E02000478,8.3,2.82171,2404.1,direct
E02000479,17.84,14.096652,6871.5,direct
E02000480,20.45,6.272306666666666,4100.7,direct
E02000481,9.940000000000001,2.1151124,672.5,direct
E02000482,4.25,7.945195,2327.9,direct
E02000483,13.66,8.975132,4991.9,direct
E02000484,12.02,3.2920500000000006,4588.8,direct
E02000485,10.1,6.976068000000001,4048.3,direct
E02000486,10.059999999999999,8.910002,5771.8,direct
E02000487,5.640000000000001,1.8317419999999998,614.3,direct
E02000488,7.659999999999999,4.569082,4144.7,direct
E02000489,16.36,6.402938000000001,3321.9,direct
E02000490,16.5,3.9688740000000005,4128.0,direct
E02000491,27.04,3.9648139999999996,2216.4,direct
E02000492,14.25,1.830281,486.3,direct
E02000493,22.475,4.68916,5226.1,direct
E02000494,10.260000000000002,3.4387794,1279.2,direct
E02000495,12.016666666666666,7.070075,3819.1,direct
E02000496,19.46,1.1441265999999999,512.4,direct
E02000497,14.14,2.940806,3523.6,direct
E02000498,11.525,2.9005229999999997,2032.3,direct
E02000499,6.94,6.8988439999999995,4803.3,direct
E02000500,6.959999999999999,7.4194232,2856.6,direct
E02000501,8.8,5.187524,5899.3,direct
E02000502,8.719999999999999,7.12526,2143.3,direct
E02000503,7.88,6.7731520000000005,6296.6,direct
E02000504,6.14,3.9109880000000006,2494.5,direct
E02000506,8.68,3.750325,1451.3,direct
E02000507,11.02,3.2324151999999997,3066.5,direct
E02000508,16.125,9.335212499999999,4350.0,direct
E02000509,19.025,5.9096715,5241.1,direct
E02000510,16.02,5.122952,4277.7,direct
E02000511,15.383333333333333,4.1669133333333335,4158.6,direct
E02000512,26.1,5.148364,6269.0,direct
E02000513,29.24,4.179004,6633.6,direct
E02000514,20.933333333333334,5.852989999999999,8900.9,direct
E02000515,25.349999999999998,3.3235499999999996,4216.5,direct
E02000516,23.360000000000003,3.520512,5224.5,direct
E02000517,26.8,4.720922,6767.1,direct
E02000518,28.080000000000002,5.296298,3817.4,direct
E02000519,29.919999999999998,7.0297480000000006,5259.0,direct
E02000520,26.46666666666667,7.233725,3224.6,direct
E02000521,28.28,3.414766,5374.9,direct
E02000522,24.58,6.3591560000000005,6100.1,direct
E02000523,20.2,10.091942,6906.9,direct
E02000524,24.1,3.3438199999999996,367.4,direct
E02000525,23.5,6.123258,2473.7,direct
E02000526,10.559999999999999,14.059834,9345.6,direct
E02000528,30.433333333333334,9.101603333333333,7241.85,msoa11_msoa21_bridge
E02000529,22.72,3.7841479999999996,8221.4,direct
E02000530,33.324999999999996,3.86202,2981.8,direct
E02000531,23.46,9.711006000000001,4527.3,direct
E02000532,14.683333333333332,6.560341666666666,3920.0,direct
E02000533,15.940000000000001,7.486864,7912.2,direct
E02000534,13.7,7.088455,1758.6,direct
E02000535,19.619999999999997,5.6157900000000005,6485.6,direct
E02000536,20.919999999999998,6.583802,6749.1,direct
E02000537,16.16,10.39399,5214.2,direct
E02000538,22.16,5.3888419999999995,4291.5,direct
E02000539,22.18,9.621348000000001,7425.6,direct
E02000540,19.82,15.817367999999998,9666.7,direct
E02000541,24.080000000000002,8.54842,10069.2,direct
E02000542,23.82,14.190474,11762.0,direct
E02000543,21.266666666666666,20.269568333333336,12233.3,direct
E02000544,14.36,4.548294,6175.2,direct
E02000545,26.080000000000002,4.5386880000000005,7037.7,direct
E02000546,20.619999999999997,5.3735100000000005,4238.4,direct
E02000547,20.36,5.837982,3369.3,direct
E02000548,27.660000000000004,3.0094338,2997.3,direct
E02000549,22.316666666666666,9.188776666666667,5106.5,direct
E02000550,26.75,8.18132,11335.4,direct
E02000551,32.4,4.727214,4578.4,direct
E02000552,17.68,3.088972,3025.4,direct
E02000553,21.55,3.9475974999999996,2821.2,direct
E02000554,36.56666666666667,12.454133333333333,14685.3,direct
E02000555,26.333333333333332,19.314595,16056.0,direct
E02000556,28.766666666666666,23.7398,17510.8,direct
E02000557,33.519999999999996,25.6483,12394.9,direct
E02000558,41.28,35.6058,19619.4,direct
E02000559,20.016666666666666,30.921116666666666,16609.5,direct
E02000560,26.625,30.501875000000002,14619.4,direct
E02000561,17.425,13.974825,12040.7,direct
E02000562,23.78,16.48576,12137.3,direct
E02000563,35.980000000000004,17.520159999999997,14966.4,direct
E02000564,28.271428571428572,27.982300000000002,15377.0,direct
E02000565,30.28,23.12304,16654.3,direct
E02000566,19.580000000000002,30.35032,12215.9,direct
E02000567,27.150000000000002,26.65426666666667,15710.4,direct
E02000568,32.260000000000005,19.703719999999997,12560.4,direct
E02000569,28.583333333333332,32.23855,14190.5,direct
E02000570,16.14,17.346046,13782.4,direct
E02000571,32.32,19.34874,17861.9,direct
E02000572,35.9,26.32106,18765.3,direct
E02000573,21.8,26.2776,14250.4,direct
E02000574,25.7,45.90786,12879.0,direct
E02000575,22.071428571428573,34.001042857142856,12169.8,direct
E02000576,26.360000000000003,38.93332,14117.7,direct
E02000577,49.68,14.971100000000002,8849.0,direct
