msoa,imd,ptal,density,density_source,imd_norm,density_norm,ptal_norm
E02000193,17.55,73.61335,5469.8,direct,0.29095222689528744,0.21923032866518743,0.7777913210295968
E02000194,23.44,10.167642,6615.7,direct,0.4179877062439341,0.2678449457174251,0.09684679418403855
E02000195,15.34,5.59323,4983.5,direct,0.24328696214817214,0.1985991319879004,0.04775094651950238
E02000196,24.175,8.167985,6455.7,direct,0.4338401811711421,0.26105697230931096,0.07538505102375403
E02000197,20.44,9.381392,9091.4,direct,0.35328372694920746,0.37287610675785177,0.08840819918510938
E02000198,31.119999999999997,8.369186000000001,9965.2,direct,0.5836298932384342,0.4099469265329153,0.07754448345921293
E02000199,21.580000000000002,8.599822,9752.0,direct,0.3778712390812036,0.40090195196660317,0.08001983327946477
E02000200,26.54,13.864498000000001,7253.7,direct,0.48484848484848486,0.2949119896822804,0.1365240858258335
E02000201,32.059999999999995,14.669338,10119.9,direct,0.6039038067507817,0.41651004832188565,0.14516220194530968
E02000202,21.266666666666666,9.34241,12146.6,direct,0.37111326791042093,0.5024924589857919,0.08798981659655833
E02000203,31.619999999999997,15.5143,10294.7,direct,0.5944138897875553,0.4239259092702505,0.15423093594529083
E02000204,23.083333333333332,7.282735,8884.7,direct,0.41029512203889434,0.3641068936112443,0.06588391751303602
E02000206,33.13333333333333,12.998423333333333,7404.0,direct,0.6270534526762285,0.30128844220252765,0.1272287556498938
E02000207,28.78,10.970804,7174.4,direct,0.5331607893885474,0.29154770036188377,0.10546690081237552
E02000208,39.88,10.472688,12407.8,direct,0.772565512779036,0.5135738255745382,0.10012076512209049
E02000209,25.939999999999998,7.186596,9043.5,direct,0.4719076889895395,0.3708439572187976,0.06485208529096663
E02000210,18.64,7.9250560000000005,11239.7,direct,0.3144613393723714,0.46401737721192476,0.07277776397193228
E02000211,10.620000000000001,2.51367,4930.3,direct,0.1414860347244689,0.19634213082970245,0.014698915212790391
E02000212,30.0,13.459078,7622.5,direct,0.5594737409684029,0.31055826838798356,0.13217282962937452
E02000213,39.2,35.81012,12415.6,direct,0.7578992774722313,0.5139047392781839,0.3720601316860431
E02000214,10.825,11.5258575,6048.5,direct,0.14590747330960854,0.24378157998566038,0.11142413030584215
E02000215,23.433333333333334,24.094471666666667,11984.4,direct,0.41784391962327916,0.49561115094331615,0.2463194494159262
E02000216,13.575,17.985172499999997,3275.6,direct,0.20521945432977462,0.12614175833966168,0.18075009947024037
E02000217,28.880000000000003,22.62826,8332.2,direct,0.5353175886983716,0.34066717293635,0.2305830215142347
E02000218,22.525,4.0666525,5862.0,direct,0.39825299255904234,0.2358693484818273,0.03136662949949883
E02000219,9.1,4.7720780000000005,1336.2,direct,0.10870268521514072,0.043863035666557776,0.03893775839796257
E02000220,26.98,33.990120000000005,9736.7,msoa11_msoa21_bridge,0.4943384018117115,0.40025285200945226,0.3525265954087128
E02000221,28.4,7.496646,3870.4,direct,0.5249649520112153,0.15137604948432612,0.068179762721069
E02000222,14.940000000000001,10.69305,4485.9,direct,0.23465976490887527,0.17748853468866532,0.1024858470567856
E02000223,38.9,8.438022,8868.8,direct,0.7514288795427585,0.3634323387538129,0.07828328043898562
E02000224,15.1,9.447731999999998,6288.0,direct,0.23811064380459399,0.2539423276809313,0.0891202073151303
E02000225,31.76,8.949411999999999,4597.8,direct,0.5974334088213094,0.18223587359096519,0.08377188215154827
E02000226,9.319999999999999,3.7265,2320.7,direct,0.11344764369675399,0.08563028454336029,0.027715870599183092
E02000227,17.6875,3.92089,2539.2,direct,0.29391782594629573,0.0949001107288162,0.029802202531573348
E02000228,5.619999999999999,2.564794,2542.0,direct,0.03364606923325782,0.0950189002634582,0.015247614393363054
E02000229,38.6,6.643409999999999,4725.4,direct,0.7449584816132859,0.18764928238393622,0.05902222626001166
E02000230,14.133333333333333,7.888136666666667,4016.4,direct,0.2172615838096265,0.1575700752192303,0.0723815193911622
E02000231,8.78,4.815606000000001,2358.3,direct,0.10180092742370321,0.08722545829426713,0.03940493189635798
E02000232,11.95,1.672025,1417.7,direct,0.17017146554513102,0.04732065962131593,0.005665781619310283
E02000233,13.9,4.0419,4010.1,direct,0.21222905208670334,0.1573027987662858,0.03110096803977102
E02000234,17.48,6.29644,3038.5,direct,0.28944246737841045,0.1160828302455125,0.055298297093997736
E02000235,11.05,2.23580275,1277.1,direct,0.15076027175671305,0.041355727988935595,0.011716645977539263
E02000236,9.26,4.71035,2554.1,direct,0.11215356411085949,0.09553224075244683,0.03827524953679385
