LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000788,23.0,12035
E01000789,36.6,5332
E01000790,13.6,20322
E01000791,9.7,24944
E01000792,18.9,15361
E01000793,4.8,30674
E01000794,3.7,31758
E01000795,14.3,19648
E01000796,30.1,7964
E01000797,13.5,20518
E01000798,42.1,3678
E01000799,19.4,14874
E01000800,28.1,8996
E01000801,18.2,15958
E01000802,19.8,14577
E01000803,17.2,16781
E01000804,8.3,26655
E01000805,21.8,12954
E01000806,25.7,10370
E01000807,6.0,29408
E01000808,7.0,28321
E01000809,4.2,31318
E01000810,2.3,32559
E01000811,5.1,30389
E01000812,10.2,24258
E01000813,3.3,32063
E01000814,4.3,31234
E01000815,2.6,32451
E01000816,14.1,19874
E01000818,13.5,20548
E01000819,26.5,9866
E01000820,21.1,13461
E01000822,13.3,20757
E01000823,11.6,22675
E01000824,15.4,18531
E01000825,17.0,16991
E01000826,4.3,31197
E01000827,5.2,30326
E01000828,10.1,24387
E01000829,6.1,29353
E01000830,3.7,31714
E01000831,8.2,26887
E01000832,6.0,29475
E01000833,2.8,32354
E01000834,4.9,30642
E01000835,7.3,27931
E01000836,5.6,29957
E01000837,10.2,24247
E01000838,5.0,30500
E01000839,4.3,31198
E01000840,10.4,24041
E01000841,4.5,30964
E01032562,32.5,6897
E01032563,8.9,25895
E01032568,25.5,10457
E01032570,12.5,21598
E01000842,8.5,26391
E01000843,13.6,20412
E01000844,9.8,24762
E01000845,11.3,22982
E01000846,22.1,12675
E01000847,17.1,16872
E01000848,6.0,29434
E01000849,7.7,27430
E01000850,14.3,19686
E01000851,15.0,18953
E01000852,14.6,19304
E01000853,30.8,7640
E01000854,15.8,18104
E01000855,14.7,19276
E01000856,31.4,7345
E01000857,14.9,19069
E01000858,37.7,4987
E01000859,7.2,28039
E01000860,17.7,16393
E01000861,33.5,6470
E01000862,10.9,23485
E01000863,34.4,6114
E01000864,17.9,16182
E01000865,13.2,20799
E01000866,22.4,12432
E01000867,28.4,8822
E01000868,39.3,4488
E01000869,22.1,12664
E01000870,26.8,9686
E01000871,14.2,19707
E01000872,24.3,11176
E01000873,8.6,26279
E01000874,4.9,30591
E01000875,21.8,12887
E01000876,29.9,8051
E01000877,11.2,23154
E01000878,5.6,29860
E01000879,5.9,29597
E01000880,6.1,29333
E01000881,13.4,20586
E01000882,4.3,31192
E01000883,9.5,25075
E01000884,5.3,30248
E01000885,7.0,28290
E01000886,9.1,25622
E01000887,13.1,20985
E01000888,14.6,19356
E01000889,30.9,7620
E01000890,40.9,4006
E01000891,38.3,4795
E01000892,15.8,18135
E01000893,5.3,30202
E01000894,6.6,28780
E01000895,8.4,26602
E01000896,5.7,29763
E01000897,5.4,30122
E01000898,11.8,22390
E01000899,6.0,29501
E01000900,26.0,10171
E01000901,30.4,7868
E01000902,36.2,5453
E01000903,18.9,15302
E01000904,24.6,11021
E01000905,38.1,4848
E01000906,10.4,23987
E01000907,33.8,6341
E01000908,27.2,9462
E01000909,11.8,22437
E01000910,9.7,24847
E01000911,17.0,17027
E01000912,22.3,12523
E01000913,9.3,25415
E01000914,13.1,20943
E01000915,23.1,12012
E01000916,19.5,14830
E01000917,35.0,5902
E01000918,20.7,13788
E01000919,21.7,12962
E01000920,15.0,18902
E01000921,15.2,18723
E01000922,21.7,12979
E01000923,19.4,14943
E01000924,13.3,20738
E01000925,29.4,8318
E01000926,17.4,16623
E01000927,14.9,18974
E01000928,20.3,14085
E01000929,25.4,10528
E01000930,30.8,7671
E01000931,34.6,6050
E01000932,20.0,14310
E01000933,25.7,10342
E01000934,35.4,5734
E01000935,32.3,6954
E01000936,21.5,13208
E01000937,14.3,19616
E01000938,33.7,6387
E01000939,39.1,4547
E01000940,19.7,14633
E01000941,38.0,4860
E01000942,15.3,18602
E01000943,19.8,14517
E01000944,22.7,12258
E01000945,29.5,8263
E01000946,14.8,19148
E01000947,24.7,10959
E01000948,28.9,8522
E01000949,19.6,14696
E01000950,39.7,4347
E01000951,34.2,6164
E01000952,33.4,6511
E01000953,37.2,5146
E01000954,34.9,5931
E01000955,33.2,6579
E01000956,33.6,6420
E01000957,26.3,9984
E01000958,24.5,11047
E01000959,39.0,4567
E01000960,16.5,17492
E01000961,22.6,12315
E01000962,6.1,29401
E01000963,8.8,26116
E01000964,17.9,16265
E01000965,17.4,16618
E01000966,7.0,28370
E01000967,9.3,25349
E01000968,14.3,19671
E01000969,6.3,29120
E01000970,10.3,24158
E01000971,7.9,27230
E01000972,27.1,9542
E01000973,20.6,13867
E01000974,25.1,10710
E01000975,17.7,16380
E01000976,25.8,10317
E01000977,28.3,8864
E01000978,20.6,13895
E01000979,17.6,16495
E01000980,26.5,9879
E01000981,14.0,19959
E01000982,18.6,15540
E01000983,13.5,20498
E01000984,30.6,7716
E01000985,8.7,26136
E01000986,13.0,21003
E01000987,9.4,25290
E01000989,12.4,21663
E01000990,40.3,4189
E01000991,8.8,25997
E01000992,32.2,7019
E01000993,12.2,21934
E01000994,19.8,14569
E01000995,20.6,13889
E01000996,19.9,14397
E01000997,22.3,12509
E01000998,32.6,6849
E01000999,22.8,12197
E01001000,28.2,8917
E01001001,37.5,5065
E01001002,22.2,12648
E01001003,25.0,10779
E01001004,26.9,9626
E01001005,23.2,11930
E01001006,30.7,7710
E01001007,18.9,15344
E01001008,30.4,7840
E01001009,23.7,11542
E01001010,41.8,3792
E01001011,30.9,7617
E01001012,37.5,5032
E01001013,46.1,2836
E01001014,30.3,7895
E01001015,24.3,11187
E01001016,14.4,19580
E01001017,8.0,27025
E01001018,6.4,28945
E01001019,5.4,30069
E01001020,8.4,26497
E01001021,35.5,5720
E01001022,9.3,25335
E01001023,23.4,11765
E01001024,8.9,25960
E01001025,6.2,29173
E01001026,12.7,21373
E01001027,10.5,23880
E01001028,6.2,29249
E01001029,15.0,18934
E01001030,7.3,27962
E01001031,6.9,28476
E01001032,3.8,31701
E01001033,14.5,19477
E01001034,14.8,19092
E01001035,18.4,15799
E01001036,12.0,22193
E01001037,20.4,14015
E01001038,18.5,15646
E01001039,8.6,26259
E01001040,15.2,18763
E01001041,21.1,13451
E01001042,36.6,5333
E01001043,31.5,7324
E01001044,10.2,24251
E01001045,35.8,5615
E01001046,9.8,24801
E01001047,22.1,12736
E01001048,28.9,8534
E01001049,12.3,21805
E01001050,22.0,12739
E01001051,39.1,4553
E01001052,42.1,3683
E01001053,32.4,6916
E01001054,34.9,5919
E01001055,38.9,4623
E01001056,37.9,4911
E01001057,40.5,4109
E01001058,11.6,22615
E01001059,15.2,18690
E01001060,20.5,13900
E01001061,23.7,11605
E01001062,9.9,24671
E01001063,6.9,28486
E01001064,12.8,21223
E01001065,15.9,18054
E01001066,38.9,4602
E01001067,7.0,28333
E01001068,17.3,16728
E01001069,9.8,24807
E01001070,14.5,19494
E01001071,12.9,21108
E01001072,8.2,26813
E01001073,16.3,17617
E01001074,18.3,15845
E01001075,11.6,22665
E01001076,36.2,5461
E01001077,18.5,15639
E01001078,36.0,5536
E01001079,34.0,6279
E01001080,49.6,2247
E01001081,34.6,6015
E01001082,33.0,6659
E01001083,13.4,20660
E01001084,14.0,19960
E01001085,18.6,15555
E01001086,16.7,17278
E01001087,24.0,11394
E01001088,16.1,17821
E01001089,28.7,8631
E01001090,23.4,11770
E01001091,15.4,18543
E01001092,19.8,14497
E01001093,11.7,22543
E01001094,8.5,26468
E01001095,16.3,17663
E01001096,7.1,28195
E01001097,22.4,12443
E01001098,7.5,27652
E01001099,19.7,14611
E01001100,8.8,26012
E01001101,5.1,30394
E01001102,7.1,28156
E01001103,7.2,28082
E01001104,5.8,29727
E01001105,20.8,13713
E01001106,12.6,21553
E01001107,7.0,28273
E01001108,5.1,30386
E01001109,32.1,7046
E01001110,43.0,3477
E01001111,28.5,8781
E01001112,30.4,7851
E01001113,28.4,8829
E01001114,41.5,3866
E01001115,44.4,3186
E01001116,28.9,8560
E01001117,27.5,9323
E01001118,40.5,4115
E01001119,8.9,25971
E01001120,10.0,24489
E01001121,7.2,28016
E01001122,9.5,25084
E01001123,9.2,25485
E01001124,5.8,29636
E01001125,12.1,22109
E01001126,6.8,28547
E01001127,9.4,25246
E01001128,34.9,5944
E01001129,4.6,30882
E01001130,37.2,5163
E01001131,12.7,21386
E01001132,9.3,25449
E01001133,11.3,22956
E01001134,9.9,24648
E01001135,8.6,26298
E01001136,32.9,6706
E01001137,23.5,11694
E01001138,18.6,15577
E01001139,19.6,14729
E01001140,21.7,12982
E01001141,27.5,9313
E01001142,21.4,13217
E01001143,30.2,7941
E01001144,37.1,5183
E01001145,39.9,4281
