LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01003434,13.0,21055
E01003435,17.6,16472
E01003436,25.6,10411
E01003437,16.0,17944
E01003438,26.9,9642
E01003439,27.4,9363
E01003440,23.1,11998
E01003441,22.9,12131
E01003442,5.2,30296
E01003443,4.5,30966
E01003444,5.4,30129
E01003445,9.4,25201
E01003446,10.1,24364
E01003447,24.4,11113
E01003448,24.6,11020
E01003449,18.5,15717
E01003450,28.1,8982
E01003451,12.6,21481
E01003452,27.0,9580
E01003453,24.4,11146
E01003454,5.6,29968
E01003455,11.0,23343
E01003456,12.8,21283
E01003457,5.5,29971
E01003458,6.0,29454
E01003459,16.1,17877
E01003460,9.0,25790
E01003461,3.7,31737
E01003462,6.9,28468
E01003463,4.3,31211
E01003464,6.1,29339
E01003465,4.7,30822
E01003466,4.6,30901
E01003467,7.1,28169
E01003468,4.5,31001
E01003469,16.0,17934
E01003470,9.5,25091
E01003471,8.1,27014
E01003472,3.8,31671
E01003473,5.3,30253
E01003474,4.5,30969
E01003475,17.4,16682
E01003476,11.7,22492
E01003477,8.6,26305
E01003478,6.5,28880
E01003479,30.1,7984
E01003480,24.0,11375
E01003481,28.6,8693
E01003482,27.2,9464
E01003483,37.2,5149
E01003484,22.7,12241
E01003485,24.1,11327
E01003486,47.8,2519
E01003487,43.6,3338
E01003488,40.7,4059
E01003489,34.4,6119
E01003490,31.0,7543
E01003491,29.5,8256
E01003492,24.9,10800
E01003493,27.3,9393
E01003494,21.3,13284
E01003495,18.0,16134
E01003496,28.5,8737
E01003497,33.3,6552
E01003498,33.2,6586
E01003499,40.6,4081
E01003500,34.3,6133
E01003501,36.3,5437
E01003502,36.5,5384
E01003503,39.4,4459
E01003506,45.3,3005
E01003507,34.0,6282
E01003508,36.9,5231
E01003509,35.4,5736
E01003511,35.3,5790
E01003512,35.3,5783
E01003513,22.2,12640
E01003514,36.7,5315
E01003515,47.7,2533
E01003516,39.9,4284
E01003517,46.7,2706
E01003518,22.6,12298
E01003519,29.4,8298
E01003520,26.7,9784
E01003521,28.5,8772
E01003522,31.4,7371
E01003523,31.5,7292
E01003524,28.6,8734
E01003525,30.7,7708
E01003526,30.1,7996
E01003527,19.9,14394
E01003528,30.4,7853
E01003529,23.4,11784
E01003530,21.9,12818
E01003531,29.2,8410
E01003532,25.3,10613
E01003533,27.6,9258
E01003534,25.2,10661
E01003535,42.6,3580
E01003536,29.5,8245
E01003537,25.3,10573
E01003538,32.0,7064
E01003539,27.3,9378
E01003540,38.7,4673
E01003541,27.2,9496
E01003542,32.8,6748
E01003543,23.2,11912
E01003544,28.7,8651
E01003545,27.2,9504
E01003546,33.5,6455
E01003547,18.9,15291
E01003548,22.3,12546
E01003549,25.6,10418
E01003550,27.0,9615
E01003551,35.0,5894
E01003552,29.8,8113
E01003553,35.8,5596
E01003554,21.9,12839
E01003555,25.8,10282
E01003556,42.3,3646
E01003557,36.8,5271
E01003558,38.3,4804
E01003559,20.7,13767
E01003560,28.0,9022
E01003561,23.7,11544
E01003562,25.9,10266
E01003563,27.1,9532
E01003564,27.4,9354
E01003565,25.4,10503
E01003566,30.4,7833
E01003567,32.1,7033
E01003568,24.0,11361
E01003569,27.7,9189
E01003570,31.3,7384
E01003571,28.0,9039
E01003572,27.8,9158
E01003573,27.1,9549
E01003574,29.3,8339
E01003575,29.8,8100
E01003576,38.1,4849
E01003577,40.9,4012
E01003578,26.2,10059
E01003579,28.5,8778
E01003580,32.8,6741
E01003581,26.8,9714
E01003582,30.9,7600
E01003583,28.5,8779
E01003584,29.5,8266
E01003585,28.0,9049
E01003586,30.0,8043
E01003587,28.0,9006
E01003588,29.2,8411
E01003589,26.8,9696
E01003590,38.3,4780
E01003591,34.1,6209
E01003592,34.4,6110
E01003593,32.7,6804
E01003594,29.2,8396
E01003595,29.8,8140
E01003596,25.2,10626
E01003597,25.7,10384
E01003598,31.2,7435
E01003599,31.2,7477
E01003600,34.3,6130
E01003601,37.2,5153
E01003602,26.1,10115
E01003603,22.8,12180
E01003604,35.7,5642
E01003605,29.5,8278
E01003606,28.6,8735
E01003607,30.5,7786
E01003608,23.9,11406
E01003609,23.0,12030
E01003611,31.4,7348
E01003615,27.3,9394
E01003616,29.4,8296
E01003617,30.0,8005
E01003618,26.8,9706
E01003619,35.3,5784
E01003621,23.1,12000
E01003622,33.7,6357
E01003623,31.4,7356
E01003624,31.6,7229
E01003625,28.6,8697
E01003626,23.9,11413
E01003627,28.4,8805
E01003628,21.4,13234
E01003629,27.0,9618
E01003630,29.8,8101
E01003631,27.2,9440
E01003632,21.0,13571
E01003633,39.5,4440
E01003634,31.1,7499
E01003635,24.6,10995
E01003636,32.3,6945
E01003637,22.0,12791
E01033574,17.0,16967
E01033575,20.1,14272
E01033576,24.5,11093
E01033577,19.0,15262
E01033578,27.2,9454
E01033579,21.1,13477
E01033580,8.9,25889
E01033581,34.9,5906
E01033582,14.6,19333
E01033583,27.3,9402
E01033584,41.6,3844
E01033585,41.7,3823
E01033586,34.5,6075
E01003638,17.7,16400
E01003639,20.3,14102
E01003640,17.8,16305
E01003641,14.3,19658
E01003642,16.5,17430
E01003643,11.3,22934
E01003644,12.6,21466
E01003645,19.4,14895
E01003646,12.4,21747
E01003647,13.5,20532
E01003648,7.6,27567
E01003649,9.0,25780
E01003650,16.2,17738
E01003651,11.3,22972
E01003652,8.1,26981
E01003653,14.4,19591
E01003654,18.3,15907
E01003655,10.1,24380
E01003656,28.0,9053
E01003657,12.3,21818
E01003658,22.8,12182
E01003659,10.7,23697
E01003660,6.7,28631
E01003661,18.0,16106
E01003662,18.1,16077
E01003663,15.1,18844
E01003664,15.7,18219
E01003665,11.9,22292
E01003666,20.3,14098
E01003668,8.9,25877
E01003669,6.2,29252
E01003670,9.5,25058
E01003671,3.6,31809
E01003672,17.2,16827
E01003673,10.7,23653
E01003674,9.0,25801
E01003675,14.7,19264
E01003676,10.3,24174
E01003677,9.4,25226
E01003678,9.7,24850
E01003679,9.0,25777
E01003680,7.7,27414
E01003681,15.8,18092
E01003682,8.3,26704
E01003683,20.2,14189
E01003684,18.4,15771
E01003685,20.9,13604
E01003686,26.4,9947
E01003688,25.3,10610
E01003689,31.3,7418
E01003690,18.6,15629
E01003691,13.6,20419
E01003692,14.6,19306
E01003693,14.2,19697
E01003694,16.2,17773
E01003695,22.9,12102
E01003696,11.5,22750
E01003697,17.9,16185
E01003698,14.5,19482
E01003699,13.9,20047
E01003700,18.1,16080
E01003701,16.4,17540
E01003702,16.7,17235
E01003703,14.5,19424
E01003704,18.7,15466
E01003705,14.3,19660
E01003706,16.3,17640
E01003707,15.5,18419
E01003708,29.0,8492
E01003709,9.7,24915
E01003710,10.9,23433
E01003711,16.9,17087
E01003712,39.9,4305
E01003713,17.3,16721
E01003714,19.1,15160
E01003715,19.5,14846
E01003716,22.2,12597
E01003718,18.7,15521
E01003719,23.3,11868
E01003720,30.7,7685
E01003721,19.5,14768
E01003722,24.5,11062
E01003723,28.1,8981
E01003724,18.2,15922
E01003725,26.2,10042
E01003726,31.7,7199
E01003727,29.9,8070
E01003728,29.2,8420
E01003729,29.5,8275
E01003730,23.5,11709
E01003731,26.4,9924
E01003732,33.9,6300
E01003733,25.4,10523
E01003734,22.0,12747
E01003735,34.3,6134
E01003736,25.0,10763
E01003737,14.6,19340
E01003738,14.2,19783
E01003739,19.8,14512
E01003740,18.4,15804
E01003741,16.3,17671
E01003742,15.1,18836
E01003743,20.5,13901
E01003744,8.4,26576
E01003745,5.7,29754
E01003746,4.1,31386
E01003747,5.9,29547
E01003748,4.9,30568
E01003749,8.4,26609
E01003750,12.2,21971
E01003751,16.3,17637
E01003752,12.7,21341
E01003753,13.4,20656
E01003754,13.0,21046
E01003755,14.8,19173
E01003756,16.9,17117
E01003757,20.3,14062
E01003758,21.1,13455
E01003759,5.0,30489
E01003760,15.0,18912
E01003761,39.7,4343
E01003762,14.1,19879
E01003763,11.4,22891
E01003764,14.1,19839
E01003765,8.5,26421
E01003766,19.5,14798
E01003767,22.4,12449
E01003768,29.3,8376
E01003769,24.7,10920
E01003770,16.7,17295
E01003771,16.9,17062
E01003772,17.3,16747
E01003773,15.0,18922
E01003774,8.9,25937
E01003775,7.6,27588
E01003776,23.9,11451
E01003777,7.8,27288
E01003778,9.6,24959
E01003779,14.1,19836
E01003780,5.8,29644
E01003781,17.1,16875
E01003782,22.0,12806
E01003783,34.2,6193
E01003784,18.4,15774
E01003785,25.7,10363
E01003786,13.0,21062
E01003787,15.4,18548
E01003788,24.9,10819
E01003789,10.3,24187
E01003790,16.2,17735
E01003791,15.7,18271
E01003792,11.3,22984
E01003793,25.0,10782
E01003794,7.9,27130
E01003795,8.4,26624
E01003796,9.5,25148
E01032581,27.6,9264
E01033589,15.3,18605
E01033590,16.6,17390
E01033591,30.5,7795
E01033592,17.1,16873
E01003797,5.9,29529
E01003798,8.5,26405
E01003799,7.2,28093
E01003800,13.1,20893
E01003801,4.0,31478
E01003802,4.7,30831
E01003803,23.8,11485
E01003804,5.8,29734
E01003805,3.7,31751
E01003806,8.0,27043
E01003807,7.8,27275
E01003808,6.0,29480
E01003809,6.1,29373
E01003810,7.5,27730
E01003811,5.5,30014
E01003812,7.8,27315
E01003813,4.7,30765
E01003814,9.0,25837
E01003815,8.9,25903
E01003816,12.1,21996
E01003817,11.0,23338
E01003818,7.1,28188
E01003819,28.7,8640
E01003820,11.5,22800
E01003821,5.1,30378
E01003822,3.0,32237
E01003823,7.2,28018
E01003824,4.6,30910
E01003825,3.2,32070
E01003826,22.9,12129
E01003827,8.5,26433
E01003828,6.1,29370
E01003829,26.7,9764
E01003830,9.4,25199
E01003831,10.2,24306
E01003832,37.0,5206
E01003833,16.6,17419
E01003834,7.3,27946
E01003835,4.5,31040
E01003836,13.0,21069
E01003837,7.8,27266
E01003838,7.3,27892
E01003839,13.1,20899
E01003840,14.8,19113
E01003841,26.0,10173
E01003842,20.4,14040
E01003843,15.7,18212
E01003844,9.2,25517
E01003845,9.3,25364
E01003846,4.2,31335
E01003847,6.7,28640
E01003848,11.4,22916
E01003849,8.4,26496
E01003851,5.9,29595
E01003852,13.6,20334
E01003853,11.5,22779
E01003854,7.8,27287
E01003855,19.2,15099
E01003856,6.3,29104
E01003857,5.5,29987
E01003858,3.9,31608
E01003859,6.7,28619
E01003860,9.3,25436
E01003861,8.2,26791
E01003862,17.8,16325
E01003863,18.7,15504
E01003864,7.1,28154
E01003865,11.5,22780
E01003866,3.8,31675
E01003867,11.8,22428
E01003868,5.6,29924
E01003869,5.1,30455
E01003870,5.8,29667
E01003871,4.8,30677
E01003872,7.6,27501
E01003873,7.5,27732
E01003874,5.2,30274
E01003875,7.3,27905
E01003876,6.7,28654
E01003877,6.0,29443
E01003878,19.6,14734
E01003879,5.9,29573
E01003880,6.1,29338
E01003881,4.6,30902
E01003882,6.2,29211
E01003883,4.8,30722
E01003884,5.6,29942
E01003885,6.1,29344
E01003886,3.5,31939
E01003887,4.6,30928
E01003888,13.6,20383
E01003889,4.8,30675
E01003890,6.6,28798
E01003891,2.7,32410
E01003892,3.8,31691
E01003893,6.7,28660
E01003894,4.8,30678
E01003895,8.0,27050
E01003896,7.6,27626
E01003897,8.3,26696
E01003898,7.9,27203
E01003899,5.1,30374
E01003900,21.2,13430
E01003901,7.1,28252
E01003902,5.9,29580
E01003903,13.2,20852
E01003904,10.7,23624
E01003905,7.6,27587
E01003906,12.1,22093
E01003907,21.0,13572
E01003908,6.9,28447
E01003909,7.6,27502
E01003910,6.5,28889
E01033570,15.3,18671
E01033571,13.5,20497
E01003911,29.8,8105
E01003912,40.6,4076
E01003913,19.2,15082
E01003914,21.5,13168
E01003915,28.0,9013
E01003916,24.7,10919
E01003917,30.2,7948
E01003918,34.6,6042
E01003919,23.6,11638
E01003920,32.3,6969
E01003921,39.7,4355
E01003922,30.6,7717
E01003923,26.7,9783
E01003924,31.2,7459
E01003925,32.7,6790
E01003926,31.4,7330
E01003927,16.4,17545
E01003929,23.0,12077
E01003930,28.9,8533
E01003932,39.0,4581
E01003933,33.6,6417
E01003934,18.6,15563
E01003935,21.0,13553
E01003936,14.2,19694
E01003937,24.3,11190
E01003938,31.2,7465
E01003939,20.5,13960
E01003940,33.4,6510
E01003941,18.2,15923
E01003942,31.3,7382
E01003943,40.1,4225
E01003945,16.4,17553
E01003946,17.0,16984
E01003947,36.1,5479
E01003948,17.3,16743
E01003949,17.1,16916
E01003950,27.5,9317
E01003951,16.0,17898
E01003952,15.6,18363
E01003953,18.6,15542
E01003954,17.3,16753
E01003955,18.3,15889
E01003956,11.8,22374
E01003957,14.1,19823
E01003958,16.3,17627
E01003960,27.4,9373
E01003961,37.8,4927
E01003963,39.2,4510
E01003964,35.4,5759
E01003966,33.3,6529
E01003967,31.4,7376
E01003968,46.6,2741
E01003969,24.1,11322
E01003970,39.0,4575
E01003971,50.4,2115
E01003972,27.7,9184
E01003973,29.8,8110
E01003974,35.4,5766
E01003975,31.0,7524
E01003976,30.4,7826
E01003977,27.5,9324
E01003978,22.9,12106
E01003979,29.5,8253
E01003980,32.9,6731
E01003981,26.5,9885
E01003983,31.1,7479
E01003984,35.2,5815
E01003986,38.1,4827
E01003987,34.2,6166
E01003988,31.7,7224
E01003989,28.9,8567
E01003990,31.1,7510
E01003991,39.3,4497
E01003992,32.4,6909
E01003993,28.4,8831
E01003994,35.7,5652
E01003995,35.1,5860
E01003997,30.3,7905
E01003998,25.1,10677
E01003999,24.5,11075
E01004000,28.0,9040
E01004001,35.8,5613
E01004002,17.6,16486
E01004003,35.6,5683
E01004004,31.6,7230
E01004005,45.1,3029
E01004006,26.4,9908
E01004007,39.4,4448
E01004008,34.8,5948
E01004010,32.3,6961
E01004011,31.0,7560
E01004012,27.3,9413
E01004013,39.1,4531
E01004014,33.9,6313
E01004015,22.8,12177
E01004016,20.2,14185
E01004017,15.6,18340
E01004018,11.3,22986
E01004019,24.0,11364
E01004020,28.0,9018
E01004021,14.8,19109
E01004022,24.6,11006
E01004023,28.5,8739
E01004024,31.2,7463
E01004027,19.5,14772
E01004028,26.4,9929
E01004029,12.4,21736
E01004030,24.9,10804
E01004031,26.0,10212
E01004032,8.3,26745
E01004033,27.1,9550
E01004034,25.7,10360
E01004035,36.2,5462
E01004036,31.5,7294
E01004037,25.9,10262
E01004038,22.3,12539
E01004039,22.6,12335
E01004040,39.9,4297
E01004041,27.4,9349
E01004042,45.4,2987
E01004043,26.4,9939
E01004044,31.1,7490
E01004045,27.3,9397
E01004046,17.3,16709
E01004047,24.4,11150
E01004048,20.5,13921
E01004049,16.7,17287
E01004050,14.5,19440
E01004051,9.7,24843
E01004052,15.8,18182
E01004053,8.7,26189
E01004054,8.4,26623
E01004055,38.9,4596
E01004056,19.7,14645
E01004057,21.7,13026
E01004058,8.4,26547
E01004059,17.3,16765
E01004060,32.0,7088
E01004061,21.5,13156
E01004062,29.4,8321
E01004063,27.4,9345
E01004064,30.5,7778
E01004065,19.3,15020
E01004066,23.9,11418
E01004067,35.5,5696
E01004068,34.4,6118
E01004069,9.3,25346
E01004070,13.1,20902
E01004071,18.2,15938
E01004072,9.2,25533
E01004073,8.6,26350
E01004074,9.8,24794
E01004075,8.6,26265
E01032583,30.2,7940
E01032584,28.1,8963
E01032637,10.0,24490
E01032638,5.6,29878
E01032639,22.7,12228
E01032640,9.8,24817
E01032646,14.0,19949
E01032719,26.0,10176
E01032720,49.2,2298
E01032722,36.9,5242
E01032803,16.1,17880
E01032805,37.7,4985
E01032834,9.1,25667
E01004076,18.3,15853
E01004077,13.5,20472
E01004078,15.6,18343
E01004079,8.6,26349
E01004080,9.9,24684
E01004081,12.4,21699
E01004082,5.3,30200
E01004083,44.3,3200
E01004084,5.8,29715
E01004085,8.5,26443
E01004086,15.3,18662
E01004087,5.7,29772
E01004088,43.2,3420
E01004089,35.5,5694
E01004090,34.4,6100
E01004091,4.6,30940
E01004092,7.5,27650
E01004093,5.4,30099
E01004094,4.5,31028
E01004095,5.6,29884
E01004096,18.9,15331
E01004097,4.8,30702
E01004098,6.0,29482
E01004099,21.1,13483
E01004100,7.4,27872
E01004101,4.7,30821
E01004102,10.8,23530
E01004103,8.2,26783
E01004104,4.1,31420
E01004105,5.1,30436
E01004106,3.1,32179
E01004107,12.5,21595
E01004108,13.1,20903
E01004109,14.7,19191
E01004110,9.2,25524
E01004111,10.4,23943
E01004112,2.8,32340
E01004114,4.7,30843
E01004115,6.2,29262
E01004116,6.4,29001
E01004117,4.1,31456
E01004118,9.8,24781
E01004119,9.6,25024
E01004120,4.8,30753
E01004121,8.3,26686
E01004122,5.3,30197
E01004123,28.2,8947
E01004124,23.2,11900
E01004125,31.6,7232
E01004126,31.4,7374
E01004127,19.8,14552
E01004128,23.7,11588
E01004129,34.1,6218
E01004130,10.2,24239
E01004131,11.2,23157
E01004132,6.6,28726
E01004133,6.5,28894
E01004134,11.8,22364
E01004135,7.6,27624
E01004136,8.4,26564
E01004137,16.0,17926
E01004138,14.2,19774
E01004139,9.6,24997
E01004140,34.0,6273
E01004141,21.1,13497
E01004142,26.0,10196
E01004143,11.8,22419
E01004144,8.8,26088
E01004145,12.3,21863
E01004146,12.5,21632
E01004147,9.4,25229
E01004148,23.4,11799
E01004149,10.0,24557
E01004150,21.6,13054
E01004151,14.9,19066
E01004152,14.9,19010
E01004153,13.1,20936
E01004154,4.9,30626
E01004155,8.1,26924
E01004156,9.0,25793
E01004157,3.3,32021
E01004158,7.9,27179
E01004159,14.2,19763
E01004160,9.3,25344
E01004161,8.0,27062
E01004162,11.5,22768
E01004163,14.6,19347
E01004164,12.1,22050
E01004165,16.4,17583
E01004166,11.4,22837
E01004167,31.4,7353
E01004168,8.7,26183
E01004169,27.2,9475
E01004170,10.2,24245
E01004171,6.4,29030
E01004172,20.9,13642
E01004173,13.6,20426
E01004174,17.3,16717
E01004175,10.9,23458
E01004176,11.9,22267
E01004177,18.9,15288
E01004178,17.2,16834
E01004179,7.2,28027
E01004180,5.0,30475
E01004181,16.5,17510
E01004182,25.1,10724
E01004183,28.5,8769
E01004184,29.8,8136
E01004185,43.2,3424
E01004186,13.8,20200
E01004187,22.5,12367
E01004188,14.0,19972
E01004189,28.6,8713
E01004190,4.7,30846
E01004191,7.8,27350
E01004192,11.3,22933
E01004193,12.4,21744
E01004194,11.0,23291
E01004195,9.5,25116
E01004196,5.8,29706
E01032623,2.8,32359
E01004197,27.5,9298
E01004198,42.1,3698
E01004199,43.9,3280
E01004200,27.2,9443
E01004201,25.9,10249
E01004202,25.4,10499
E01004203,28.3,8880
E01004204,34.0,6274
E01004205,37.9,4905
E01004206,43.1,3446
E01004207,34.8,5973
E01004208,25.1,10715
E01004209,42.5,3602
E01004211,31.5,7276
E01004212,24.9,10838
E01004214,35.6,5686
E01004215,17.4,16624
E01004216,14.1,19837
E01004217,22.5,12388
E01004218,12.7,21427
E01004219,33.7,6380
E01004221,19.0,15260
E01004222,37.7,4966
E01004223,35.5,5705
E01004224,31.2,7452
E01004225,20.8,13671
E01004226,28.6,8684
E01004228,21.9,12849
E01004229,25.7,10339
E01004230,27.8,9165
E01004231,32.5,6874
E01004232,20.7,13752
E01004233,31.1,7486
E01004234,24.2,11218
E01004235,32.6,6856
E01004236,38.7,4668
E01004237,29.7,8147
E01004238,30.7,7688
E01004239,41.3,3901
E01004240,31.7,7203
E01004241,36.9,5227
E01004242,26.7,9768
E01004243,36.1,5485
E01004244,43.2,3416
E01004245,46.5,2763
E01004246,29.9,8057
E01004247,41.7,3824
E01004248,43.1,3465
E01004249,43.1,3447
E01004250,39.6,4393
E01004251,28.7,8675
E01004252,35.2,5828
E01004253,28.2,8904
E01004254,18.7,15458
E01004255,34.7,5983
E01004256,35.6,5676
E01004257,33.0,6674
E01004258,22.0,12802
E01004259,26.2,10040
E01004260,32.2,6995
E01004261,25.8,10280
E01004262,29.3,8367
E01004263,33.0,6689
E01004264,34.3,6140
E01004266,26.9,9652
E01004267,33.0,6672
E01004268,34.4,6121
E01004269,32.2,6988
E01004270,22.3,12534
E01004271,31.0,7538
E01004272,35.1,5842
E01004273,36.8,5279
E01004274,24.2,11260
E01004275,13.8,20159
E01004276,5.4,30144
E01004277,7.9,27157
E01004280,25.1,10692
E01004281,8.2,26798
E01004283,29.6,8223
E01004284,31.4,7366
E01004285,39.7,4342
E01004286,36.5,5381
E01004287,29.9,8047
E01004288,38.0,4874
E01004289,34.6,6032
E01004290,28.6,8732
E01004291,9.9,24676
E01004292,7.7,27385
E01004293,8.8,26059
E01004294,18.6,15535
E01004295,31.1,7506
E01004296,26.1,10142
E01004297,9.3,25393
E01004298,41.3,3911
E01004300,36.7,5313
E01004301,35.8,5604
E01004302,25.3,10599
E01004303,24.0,11397
E01004304,38.5,4740
E01004305,30.9,7611
E01004306,36.7,5304
E01004307,14.0,19910
E01004308,28.8,8621
E01004309,38.5,4749
E01004310,37.3,5125
E01004311,38.8,4644
E01004312,39.6,4384
E01004313,24.6,11032
E01004314,21.6,13053
E01004315,32.6,6850
E01004316,39.1,4542
E01004317,27.6,9244
E01004318,35.9,5572
E01004319,32.6,6845
E01004321,33.8,6345
E01004322,32.3,6983
E01004323,27.8,9137
E01004324,37.5,5052
E01004325,24.5,11050
E01004326,26.3,10008
E01032764,22.2,12594
E01032765,28.2,8918
E01032766,19.8,14542
E01032767,11.9,22328
E01032768,12.9,21107
E01032769,18.0,16124
E01032770,16.6,17320
E01032771,13.2,20860
E01032772,23.8,11466
E01032773,14.4,19572
E01032774,30.2,7916
E01032775,9.4,25292
E01032776,9.8,24799
E01032777,18.5,15657
E01032778,17.4,16614
E01032779,17.3,16738
E01032780,16.2,17778
E01032781,12.7,21416
E01032782,19.6,14749
E01032783,17.7,16421
E01032784,22.8,12196
E01032785,20.8,13712
E01032786,26.7,9758
E01032787,34.2,6192
E01004327,30.1,7992
E01004328,23.2,11954
E01004329,23.7,11575
E01004330,16.9,17056
E01004331,22.8,12158
E01004332,28.2,8927
E01004333,27.9,9066
E01004334,44.7,3119
E01004335,39.7,4362
E01004336,24.3,11164
E01004337,26.1,10118
E01004338,19.4,14941
E01004339,24.5,11057
E01004340,43.2,3432
E01004341,32.1,7036
E01004342,22.4,12475
E01004343,15.8,18190
E01004344,30.5,7780
E01004345,20.9,13646
E01004346,18.2,15972
E01004347,15.5,18452
E01004348,18.2,15993
E01004349,29.9,8091
E01004350,28.6,8698
E01004351,15.0,18892
E01004352,10.4,23995
E01004353,16.1,17875
E01004354,13.6,20330
E01004355,25.2,10657
E01004356,25.9,10256
E01004357,17.6,16459
E01004358,22.1,12717
E01004359,12.7,21404
E01004360,13.1,20890
E01004361,15.4,18552
E01004362,23.3,11856
E01004363,19.4,14952
E01004364,32.0,7069
E01004365,29.3,8358
E01004366,19.6,14761
E01004367,27.3,9423
E01004368,21.8,12888
E01004369,15.8,18122
E01004370,14.5,19459
E01004371,20.6,13836
E01004372,11.8,22386
E01004373,25.6,10432
E01004374,17.1,16899
E01004375,20.8,13709
E01004376,22.2,12644
E01004377,19.8,14476
E01004378,23.0,12064
E01004379,11.8,22382
E01004380,22.7,12272
E01004381,15.4,18539
E01004382,38.7,4663
E01004383,15.0,18959
E01004384,32.1,7043
E01004385,33.5,6481
E01004386,8.9,25868
E01004387,7.2,28095
E01004388,19.4,14955
E01004389,31.0,7533
E01004390,35.0,5903
E01004391,21.3,13300
E01004392,26.2,10024
E01004393,21.8,12894
E01004394,36.0,5529
E01004395,17.3,16750
E01004396,19.9,14422
E01004397,26.9,9666
E01004398,37.9,4902
E01004399,47.5,2576
E01004400,29.2,8395
E01004401,22.2,12638
E01004402,32.7,6798
E01004403,30.8,7659
E01004404,28.7,8644
E01004405,28.4,8814
E01004406,22.5,12412
E01004407,41.2,3915
E01004408,23.3,11853
E01004409,27.4,9342
E01004410,34.2,6167
E01004411,26.5,9899
E01004412,18.4,15738
E01004413,32.2,6997
E01004414,21.5,13165
E01004415,26.4,9922
E01004416,23.0,12086
E01004417,23.1,12004
E01004418,19.4,14916
E01004419,21.1,13460
E01004420,42.1,3684
E01004421,25.0,10740
E01004422,26.9,9657
E01004423,36.0,5540
E01004424,37.3,5128
E01004425,25.8,10288
E01004426,25.4,10530
E01004427,21.6,13096
E01004428,39.6,4387
E01004429,23.3,11880
E01004430,24.4,11129
E01004432,26.4,9936
E01004434,27.8,9155
E01004435,29.0,8481
E01004436,26.6,9833
E01004437,25.7,10395
E01004438,20.9,13609
E01004439,19.0,15233
E01004440,25.9,10223
E01004441,18.8,15444
E01004442,13.8,20152
E01004443,31.4,7369
E01004444,34.3,6152
E01004445,28.8,8617
E01004446,23.4,11752
E01004447,16.8,17154
E01004448,26.7,9772
E01004449,46.3,2803
E01004450,15.9,18040
E01004451,16.1,17874
E01004452,24.8,10862
E01004453,25.8,10327
E01004454,24.4,11139
E01004455,29.4,8328
E01004456,42.7,3536
E01004457,20.5,13953
E01004458,26.2,10047
E01004459,43.4,3379
E01004460,29.8,8097
E01004461,15.2,18694
E01004462,23.8,11471
E01004463,15.0,18935
E01004464,37.5,5047
E01004465,18.1,16047
E01004466,14.8,19125
E01004467,29.6,8188
E01004468,17.9,16258
E01004469,39.5,4431
E01004470,34.3,6157
E01004471,32.8,6772
E01033153,38.1,4853
E01004472,9.9,24666
E01004473,11.9,22310
E01004474,17.5,16534
E01004475,16.0,17970
E01004476,13.6,20382
E01004477,5.1,30427
E01004478,4.4,31143
E01004479,10.2,24219
E01004480,7.2,28021
E01004481,15.2,18761
E01004482,15.1,18803
E01004483,14.0,19926
E01004484,18.3,15837
E01004485,16.1,17817
E01004486,17.6,16426
E01004487,21.4,13248
E01004488,14.6,19364
E01004489,26.9,9627
E01004490,7.2,28015
E01004491,14.2,19740
E01004492,15.5,18414
E01004493,13.6,20364
E01004494,19.1,15151
E01004495,23.5,11697
E01004496,12.0,22187
E01004497,16.4,17512
E01004498,8.7,26162
E01004499,13.8,20104
E01004500,10.9,23432
E01004501,17.7,16374
E01004502,9.4,25288
E01004503,18.5,15634
E01004504,9.8,24721
E01004505,7.8,27364
E01004506,9.5,25152
E01004507,8.7,26239
E01004508,10.8,23599
E01004509,15.8,18176
E01004510,8.8,26091
E01004511,8.1,26969
E01004512,12.5,21622
E01004513,18.3,15875
E01004514,9.3,25454
E01004515,14.8,19074
E01004516,12.3,21815
E01004517,14.9,18989
E01004518,13.0,20999
E01004519,16.6,17332
E01004520,16.5,17433
E01004521,16.4,17534
E01004522,18.3,15866
E01004523,19.1,15182
E01004524,35.0,5868
E01004525,21.6,13131
E01004526,22.8,12185
E01004527,15.3,18676
E01004528,28.7,8673
E01004529,13.5,20554
E01004530,15.2,18736
E01004531,25.3,10579
E01004532,16.1,17810
E01004533,27.0,9564
E01004534,13.5,20468
E01004535,37.7,4970
E01004536,23.5,11674
E01004537,33.4,6489
E01004538,25.1,10702
E01004539,34.1,6208
E01004540,26.4,9942
E01004541,38.6,4700
E01004542,7.0,28352
E01004543,7.9,27182
E01004544,12.1,22063
E01004545,10.6,23829
E01004546,6.6,28753
E01004547,20.3,14054
E01004548,17.5,16560
E01004549,19.3,14976
E01004550,13.2,20846
E01004551,17.5,16564
E01004552,10.7,23714
E01004553,11.3,23022
E01004554,6.5,28864
E01004555,4.8,30653
E01004556,4.7,30796
E01004557,8.3,26658
E01004558,5.8,29652
E01004559,7.6,27575
E01004560,17.4,16606
E01004562,29.9,8087
E01004563,30.5,7775
E01004564,18.5,15699
E01004565,19.3,15043
E01004566,11.7,22476
E01004567,31.6,7246
E01004568,23.7,11579
E01004569,24.7,10975
E01004570,33.6,6433
E01004571,24.6,11003
E01004572,23.0,12072
E01004573,27.3,9403
